Priority,District,State,Issue,Action,Timeline
ğŸ”´ High,North East   *,Delhi,Child Gap: -1.000,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Jhajjar *,Haryana,Child Gap: -1.000,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Kendrapara *,Odisha,Child Gap: -1.000,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Namakkal   *,Tamil Nadu,Child Gap: -1.000,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Kushi Nagar,Uttar Pradesh,Child Gap: -0.991,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Nandurbar *,Maharashtra,Child Gap: -0.988,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Sheikpura,Bihar,Child Gap: -0.984,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Monghyr,Bihar,Child Gap: -0.982,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Raigarh(Mh),Maharashtra,Child Gap: -0.974,Launch targeted child update campaign,0-3 months
ğŸ”´ High,Nabarangpur,Odisha,Child Gap: -0.973,Launch targeted child update campaign,0-3 months
ğŸŸ  Medium,All 59 districts,Cluster: â­ High-Performing Di,Cluster-wide child gap: -0.820,Deploy mobile update camps,3-6 months
